File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Root.Length.Diameter.Range.4.mm,Root.Length.Diameter.Range.5.mm,Root.Length.Diameter.Range.6.mm,Root.Length.Diameter.Range.7.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Projected.Area.Diameter.Range.4.mm2,Projected.Area.Diameter.Range.5.mm2,Projected.Area.Diameter.Range.6.mm2,Projected.Area.Diameter.Range.7.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.4.mm2,Surface.Area.Diameter.Range.5.mm2,Surface.Area.Diameter.Range.6.mm2,Surface.Area.Diameter.Range.7.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3,Volume.Diameter.Range.4.mm3,Volume.Diameter.Range.5.mm3,Volume.Diameter.Range.6.mm3,Volume.Diameter.Range.7.mm3
id66.png,Full,304,2026,4307.177648,0.470378,2123.466183,0.596982,0.511516,3.152341,7461.881338,1520.594963,8057.911165,8.49,23.096749,127.550633,1822.643965,1950.335682,360.378274,23.172346,0,1.969492,25.864305,737.587406,1276.126934,469.231034,53.957667,0,6.187342,81.255112,2317.398452,4009.343971,1474.21328,169.513009,0,0.137324,4.250387,239.614483,679.866444,496.785199,99.941126,0
id67.png,Full,350,759,3359.872032,0.225901,1799.100792,0.617645,0.550333,2.732058,6099.600344,1228.614589,6500.448512,7.181,6.715379,56.114238,1220.270874,1805.595821,250.715352,20.460369,0,0.510021,11.463572,502.018137,1178.608107,331.533414,45.016172,0,1.602278,36.013873,1577.160378,3702.70657,1041.542938,141.422475,0,0.03285,1.898677,165.818061,625.668199,356.887071,78.30973,0
id68.png,Full,62,472,1042.954373,0.452561,551.061174,0.62415,0.550333,2.605822,1842.532355,387.716175,2041.60511,1.825,3.52409,14.43612,361.708622,568.760676,86.179654,8.345212,0,0.31512,2.840029,153.013349,367.274963,107.173573,19.177628,0,0.989978,8.922213,480.920589,1153.828325,336.695711,60.248295,0,0.022631,0.453371,51.723754,192.432272,108.270307,34.81384,0
id69.png,Full,183,349,1810.029933,0.192814,1070.710224,0.68859,0.598684,2.632167,3277.076792,816.857834,3901.587149,3.007,1.170184,19.658786,474.007043,1086.60685,215.886768,12.700302,0,0.091242,3.999505,199.969614,724.234817,285.085708,28.532876,0,0.286645,12.564815,628.223069,2275.250781,895.623164,89.638675,0,0.00593,0.657585,67.494149,392.625266,305.452853,50.622051,0
id70.png,Full,383,839,3607.912825,0.232544,1638.436239,0.533688,0.455944,3.332523,6528.231849,1062.244082,6025.258549,6.577,22.431512,204.772746,1923.677653,1214.670895,224.385434,17.974585,0,1.676755,41.009629,739.222252,798.31981,293.807603,43.810654,0,5.267682,128.835548,2322.428861,2508.06742,923.023809,137.63523,0,0.106011,6.681288,229.123429,428.380437,312.265897,85.68702,0
id72.png,Full,263,1660,2973.231683,0.558315,1572.923825,0.665224,0.575796,2.851457,4910.202718,1324.232044,6205.341269,6.336,15.935108,74.917483,969.332293,1529.011171,351.870306,32.165322,0,1.373744,14.792741,392.429234,1031.668285,460.848894,73.957872,0,4.315745,46.472767,1232.982292,3241.425458,1447.799498,232.345508,0,0.096662,2.380568,127.771509,567.397339,491.966148,134.619818,0
id73.png,Full,232,1481,2739.709432,0.540568,1445.468435,0.650794,0.569537,3.792556,4650.680776,1186.781495,5602.734511,4.653,17.809809,84.908817,827.938642,1512.887974,260.705226,35.458964,0,1.54608,16.52788,335.968045,1004.553774,336.582885,87.97124,0,4.857154,51.923866,1055.854729,3156.107898,1057.473468,276.517396,0,0.108871,2.624984,109.813865,543.239414,354.04846,176.945901,0
id74.png,Full,238,1600,2813.340689,0.568719,1393.022752,0.626265,0.550333,2.836649,4594.384013,1120.402358,5529.385185,2.389,19.991222,114.020166,1011.170933,1365.644757,274.53628,27.97733,0,1.635308,22.526716,404.470748,909.403996,359.359113,62.52509,0,5.137473,70.781709,1270.825868,2857.251822,1128.959951,196.428362,0,0.111084,3.622662,130.374817,492.546896,383.245366,110.501534,0
id75.png,Full,332,1922,3931.943988,0.488817,1749.940049,0.552819,0.473301,3.468493,6673.696513,1318.702516,6823.55374,3.453,30.623101,225.471342,1938.224724,1463.737399,224.402283,49.485138,0,2.559766,44.916013,759.424371,938.438059,302.704903,123.728995,0,8.041742,141.131704,2386.303503,2948.39519,950.975501,388.7061,0,0.175595,7.283422,240.23041,489.321088,333.886283,247.805718,0
id76.png,Full,206,406,2164.96833,0.187532,1148.514728,0.630779,0.530435,3.640174,3875.850724,900.87385,4279.712075,2.438,2.431674,44.324468,884.537214,1003.561108,200.642211,29.471654,0,0.192393,9.348527,357.39644,654.848863,267.625551,72.862889,0,0.604422,29.369263,1122.79403,2057.268378,840.770466,228.905516,0,0.012561,1.589095,116.165978,347.783151,290.106245,145.216819,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#Run with 0.25mm fill, 0.5mm object filter for presequencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
